type,n,extra_balls,seed,relaxation,mosek_code,pval,dval,rel_gap,eval_ratio,time
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_107.mat,beta,PrimalAndDualFeasible,-17.264714918762625,-17.26471493529243,9.574329449684324e-10,3059084208.607848,0.014268159866333008
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_948.mat,beta,PrimalAndDualFeasible,-118.54380467584407,-118.54380467587656,2.740422746492721e-13,16363073843140.646,0.3045189380645752
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_974.mat,beta,PrimalAndDualFeasible,-156.47966821013475,-156.4796682108729,4.717163731610433e-12,1032313493207.1403,0.3524301052093506
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_315.mat,beta,PrimalAndDualFeasible,-9.290187956994695,-9.29018795717112,1.8990572176517164e-11,167010433251.37402,0.008353948593139648
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_258.mat,beta,PrimalAndDualFeasible,-50.753115929864265,-50.75311601220923,1.62246133270884e-09,2927846415.337992,0.03652787208557129
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_586.mat,beta,PrimalAndDualFeasible,-133.29573670865736,-133.29573670869996,3.1962119335660437e-13,95342016319495.61,0.32941603660583496
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_711.mat,beta,PrimalAndDualFeasible,-19.31102988159467,-19.311029890031,4.368659152299494e-10,8164547225.304582,0.01055002212524414
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_95.mat,beta,PrimalAndDualFeasible,-34.95623568278075,-34.9562356828201,1.1256891921505073e-12,4157787465636.685,0.03409099578857422
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_660.mat,beta,PrimalAndDualFeasible,-98.64423931768536,-98.64424071000686,1.4114574692435653e-08,144311898.04464278,0.03326106071472168
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_922.mat,beta,PrimalAndDualFeasible,-23.245003739494564,-23.24500374162377,9.159840455676949e-11,33033454342.60186,0.009318113327026367
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_815.mat,beta,PrimalAndDualFeasible,-132.08448545014636,-132.0844855102999,4.5541725079155303e-10,12746604023.482948,0.2775259017944336
