type,n,m,seed,generator_timestamp,test_timestamp,relaxation,time
maxnorm,2,2,63,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0007579326629638
maxnorm,2,2,64,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0009498596191406
maxnorm,2,2,65,2023-10-26 00:02:46,2023-10-28 00:34:52,beta,0.0008230209350585
maxnorm,2,2,66,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0007400512695312
maxnorm,2,2,67,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010230541229248
maxnorm,2,2,68,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008778572082519
maxnorm,2,2,69,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.00083589553833
maxnorm,2,2,70,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010550022125244
maxnorm,2,2,71,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0007159709930419
maxnorm,2,2,72,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0006849765777587
maxnorm,2,2,73,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0007750988006591
maxnorm,2,2,74,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.00101900100708
maxnorm,2,2,75,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.001086950302124
maxnorm,2,2,76,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009820461273193
maxnorm,2,2,77,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0007839202880859
maxnorm,2,2,78,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008821487426757
maxnorm,2,2,79,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008671283721923
maxnorm,2,2,80,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008690357208251
maxnorm,2,2,81,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008549690246582
maxnorm,2,2,82,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008139610290527
maxnorm,2,2,83,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0007879734039306
maxnorm,2,2,84,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0007498264312744
maxnorm,2,2,85,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009939670562744
maxnorm,2,2,86,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010390281677246
maxnorm,2,2,87,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009279251098632
maxnorm,2,2,88,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008380413055419
maxnorm,2,2,89,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0006139278411865
maxnorm,2,2,90,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0007159709930419
maxnorm,2,2,91,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009388923645019
maxnorm,2,2,92,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009000301361083
maxnorm,2,2,93,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008561611175537
maxnorm,2,2,94,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009200572967529
maxnorm,2,2,95,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0008778572082519
