type,n,extra_balls,seed,relaxation,mosek_code,pval,dval,rel_gap,eval_ratio,time
martinez,2.0,1.0,340.0,kron,PrimalAndDualFeasible,-0.3747389558741165,-0.37473895593318457,5.90680837575519e-11,13962604735.828981,0.001886129379272461
martinez,2.0,1.0,340.0,beta,PrimalAndDualFeasible,-0.3747389558833071,-0.3747389559280126,4.470551706603487e-11,16373294849.93801,0.0008091926574707031
martinez,2.0,1.0,343.0,shor,PrimalAndDualFeasible,0.04716724678079493,-0.6133675931628596,0.6605348399436546,2.324385822323449,0.0002567768096923828
martinez,2.0,1.0,343.0,kron,PrimalAndDualFeasible,-0.25564028073064393,-0.25564028246868326,1.7380393235733038e-09,1168930010.7277613,0.0017251968383789062
martinez,2.0,1.0,343.0,beta,PrimalAndDualFeasible,-0.25564028249234394,-0.2556402827360947,2.4375074181293144e-10,8860370016.788841,0.0008349418640136719
martinez,2.0,1.0,345.0,shor,PrimalAndDualFeasible,-0.15990834562663472,-0.331180253674227,0.17127190804759226,2.7587471911652313,0.0003540515899658203
martinez,2.0,1.0,345.0,kron,PrimalAndDualFeasible,-0.3280851723303461,-0.32808517408778337,1.757437251281857e-09,477989868.44699234,0.0013241767883300781
martinez,2.0,1.0,345.0,beta,PrimalAndDualFeasible,-0.3280851739505756,-0.32808517414462873,1.9405310691666955e-10,6012147484.674108,0.0006401538848876953
martinez,2.0,1.0,363.0,shor,PrimalAndDualFeasible,-0.4869751988855404,-0.8439578099456818,0.3569826110601414,5.548953349884818,0.00030612945556640625
martinez,2.0,1.0,363.0,kron,PrimalAndDualFeasible,-0.7815491958960741,-0.7815491958835771,1.249700343208815e-11,184137828134.48975,0.0018649101257324219
martinez,2.0,1.0,363.0,beta,PrimalAndDualFeasible,-0.7815491958593199,-0.7815491958627543,3.4343639043754592e-12,91091381004.72334,0.000720977783203125
martinez,2.0,1.0,443.0,shor,PrimalAndDualFeasible,-0.4800131945135582,-1.0991610948650834,0.6191479003515252,1.824634141070019,0.00032901763916015625
martinez,2.0,1.0,443.0,kron,PrimalAndDualFeasible,-0.9957933382119671,-0.9957933383987954,1.8682821956161888e-10,10220948219.526453,0.0018000602722167969
martinez,2.0,1.0,443.0,beta,PrimalAndDualFeasible,-0.9957933382158555,-0.9957933383644955,1.4863998920588983e-10,8879334531.686172,0.0008628368377685547
martinez,2.0,1.0,469.0,shor,PrimalAndDualFeasible,0.03420350381321063,-0.7002473542508986,0.7344508580641091,1.508954017881379,0.0002980232238769531
martinez,2.0,1.0,469.0,kron,PrimalAndDualFeasible,-0.5253387467528411,-0.5253387477823646,1.0295234664781105e-09,1537061043.2321448,0.0014641284942626953
martinez,2.0,1.0,469.0,beta,PrimalAndDualFeasible,-0.5253387468962517,-0.5253387478249785,9.287267621616024e-10,1632670111.5144596,0.0006449222564697266
martinez,2.0,1.0,473.0,shor,PrimalAndDualFeasible,-0.1555514660132117,-0.9533113953811916,0.7977599293679799,1.2816189352047433,0.0003368854522705078
